user@Ubuntu:~/Desktop$ top -u user

Tasks: 238 total,   1 running, 237 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.9 us,  0.5 sy,  0.0 ni, 96.5 id,  1.0 wa,  0.0 hi,  0.1 si,  0.0 st
MiB Mem :   2979.8 total,    786.8 free,    949.7 used,   1243.4 buff/cache
MiB Swap:   4972.0 total,   4972.0 free,      0.0 used.   1825.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND                                                                                                                             
   1787 user      20   0 5021952 350068 147760 S  11.3  11.5   0:17.89 gnome-shell                                                                                                                         
   2707 user      20   0  571964  58528  45084 S   2.3   1.9   0:02.06 gnome-terminal-                                                                                                                     
   1827 user      20   0  327012   8188   7152 S   0.7   0.3   0:00.02 gvfs-afc-volume                                                                                                                     
   2370 user      20   0  230668   2444   2096 S   0.7   0.1   0:00.21 VBoxClient                                                                                                                          
   2362 user      20   0  230152   2568   2204 S   0.3   0.1   0:00.07 VBoxClient                                                                                                                          
   3248 user      20   0   25028   4228   3360 R   0.3   0.1   0:00.13 top                                                                                                                                 
   1615 user      20   0   17904  10708   8152 S   0.0   0.4   0:00.46 systemd                                                                                                                             
   1616 user      20   0  169952   4172     16 S   0.0   0.1   0:00.00 (sd-pam)                                                                                                                            
   1622 user       9 -11   51380   6616   5484 S   0.0   0.2   0:00.02 pipewire                                                                                                                            
   1623 user      20   0   35268   6500   5400 S   0.0   0.2   0:00.02 pipewire-media-                                                                                                                     
   1624 user       9 -11 1247420  28188  21064 S   0.0   0.9   0:00.11 pulseaudio                                                                                                                          
   1625 user      20   0   76120  11508   9840 S   0.0   0.4   0:00.82 snapd-desktop-i                                                                                                                     
   1634 user      20   0    9684   5840   4152 S   0.0   0.2   0:00.41 dbus-daemon                                                                                                                         
   1641 user      20   0  252448   8312   7412 S   0.0   0.3   0:00.02 gvfsd                                                                                                                               
   1653 user      20   0  380884   6828   6164 S   0.0   0.2   0:00.00 gvfsd-fuse                                                                                                                          
   1662 user      20   0  548708   7280   6560 S   0.0   0.2   0:00.04 xdg-document-po                                                                                                                     
   1666 user      20   0  247956   5428   5016 S   0.0   0.2   0:00.00 xdg-permission-                                                                                                                     
   1687 user      20   0  252720   7436   6508 S   0.0   0.2   0:00.05 gnome-keyring-d                                                                                                                     
   1691 user      39  19  645260  25976  18936 S   0.0   0.9   0:00.51 tracker-miner-f                                                                                                                     
   1697 user      20   0  174192   6260   5764 S   0.0   0.2   0:00.00 gdm-wayland-ses                                                                                                                     
   1700 user      20   0  234836  15356  13656 S   0.0   0.5   0:00.05 gnome-session-b                                                                                                                     
   1745 user      20   0  103712   5140   4708 S   0.0   0.2   0:00.00 gnome-session-c                                                                                                                     
   1761 user      20   0  604712  17700  14792 S   0.0   0.6   0:00.15 gnome-session-b                                                                                                                     
   1786 user      20   0  309612   7848   7140 S   0.0   0.3   0:00.00 at-spi-bus-laun                                                                                                                     
   1794 user      20   0    8560   4504   4028 S   0.0   0.1   0:00.01 dbus-daemon                                                                                                                         
   1822 user      20   0  327728   9064   7732 S   0.0   0.3   0:00.15 gvfs-udisks2-vo                                                                                                                     
   1832 user      20   0  248264   6828   6244 S   0.0   0.2   0:00.01 gvfs-mtp-volume                                                                                                                     
   1836 user      20   0  249220   7088   6408 S   0.0   0.2   0:00.01 gvfs-gphoto2-vo                                                                                                                     
   1840 user      20   0  248436   6548   6020 S   0.0   0.2   0:00.00 gvfs-goa-volume                                                                                                                     
   1844 user      20   0  576304  39696  32588 S   0.0   1.3   0:00.05 goa-daemon                                                                                                                          
   1851 user      20   0  350204  14932  13020 S   0.0   0.5   0:00.02 goa-identity-se                                                                                                                     
   1860 user      20   0  582724  18004  15548 S   0.0   0.6   0:00.10 gnome-shell-cal                                                                                                                     
   1889 user      20   0  403984  25668  21984 S   0.0   0.8   0:00.10 evolution-sourc                                                                                                                     
   1900 user      20   0  400392   8664   7536 S   0.0   0.3   0:00.03 gvfsd-trash                                                                                                                         
   1909 user      20   0 2672660  27636  22836 S   0.0   0.9   0:00.05 gjs                                                                                                                                 
   1911 user      20   0  162676   7460   6788 S   0.0   0.2   0:00.00 at-spi2-registr                                                                                                                     
   1918 user      20   0    2888    960    868 S   0.0   0.0   0:00.00 sh                                                                                                                                  
   1919 user      20   0  322224   6816   6236 S   0.0   0.2   0:00.00 gsd-a11y-settin                                                                                                                     
   1920 user      20   0  462936  24768  19292 S   0.0   0.8   0:00.10 gsd-color                                                                                                                           
   1921 user      20   0  387260  16312  14316 S   0.0   0.5   0:00.01 gsd-datetime                                                                                                                        
   1926 user      20   0  323728   7352   6676 S   0.0   0.2   0:00.03 gsd-housekeepin                                                                                                                     
   1927 user      20   0  352352  21644  16828 S   0.0   0.7   0:00.08 gsd-keyboard                                                                                                                        
   1928 user      20   0  875952  26480  20836 S   0.0   0.9   0:00.10 gsd-media-keys  
